parent-sku,creation-date,name,sku,breeder,price,msrp,pack-size,description,aka,genetics,variety,flowering-time,flowering-type,sex,thc-content,cbd-content,yield,grows,plant-height,medical-conditions,medical-properties,effect,url,image-1,image-2,categories
MRNMKXSK,"2009-05-21 15:57:28","Master Kush Skunk Regular Seeds",MRNMKXSK,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","Both these plants have won multiple awards for their particular contribution to the cannabis culture over the last few decades. It is very reliable on all levels and an excellent blend of fine genetics. The origins of the parents stem from Afghanistan with smaller contributions arising from Thailand and Mexico. Usually, the flowering time will be in the faster range of 6 weeks, but one will find certain phenotypes that will finish in 8/9 weeks. Generally the longer they go until they reach maturity, the more sativa influence will be in the plant.These plants will carry the distinct flavor of the original MK, which won the 1994 HTCC. It is a special plant in aroma and flavour and quite an easy and versatile good yielding plant. It is certainly a good option for all levels of growers. It is suitable for indoor and outdoor cultivation with a good resistance to moulds. Outdoors, the maturing flowers will need to be supported well; otherwise, they have the tendency to over weigh their stem and break - usually a good sign for those who take the time.Overall, this is an outstanding plant that can be farmed in all ways on all mediums and perform equally well. It has a particular smell, taste, and effect that make it a unique plant for almost any grower's garden.",,"Master Kush x Skunk","Mostly Indica","7-9 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,"Long-lasting,Powerful,Relaxing,Uplifting",https://tiger-one.eu/en/categories/regular-cannabis-seeds/master-kush-x-skunk,http://tiger-one.eu/media/catalog/product/m/a/masterkush.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNMM,"2009-05-21 16:06:37","Medicine Man Regular Seeds",MRNMM,"Mr Nice Seedbank",48.0000,80.0000,"18 Seeds","A proven medical marvel for those in need of high levels of the most active ingredient, THC. Almost toxic at times, so handle with care: don&rsquo;t abuse the medicine-man. It has won many awards since its introduction as the White Rhino in the late 90&rsquo;s.  An incredible strong genetic heritage stemming from a Brazilian sativa/South Indian hybrid combined with a prodigious-yield Afghani.   It is a member of the White Widow family and a proven champion for medicinal users. Those who prefer indoors can expect an incredibly resinous and compact Indica appearance from this plant. It has an expected flowering time of 56 to 60 days. Outdoor growers in the northern hemisphere can expect harvest around October and those in the southern hemisphere by May.","White Rhino","Brazilian sativa / South Indian indica x Afghani","Indica / Sativa","7-9 Weeks",Photoperiod,Regular,"Unknown - High",Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Migraines,Pain,Stress",,"Long-lasting,Physical,Powerful,Relaxing,Soothing",https://tiger-one.eu/en/categories/regular-cannabis-seeds/medicine-man-seeds,http://tiger-one.eu/media/catalog/product/m/e/medicineman.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNNHZ,"2009-05-21 16:20:43","Neville's Haze Regular Seeds",MRNNHZ,"Mr Nice Seedbank",69.0000,115.0000,"18 Seeds","A tribute to the father of all modern seed companies, Neville Schoenmakers. There is something very special about this 3/4 sativa that those in the know will recognize once they smell the end product. It can be difficult to know what to base your selective reasoning on, but the plants that go longer than 16 weeks indoor will really not be of value in the end to indoor cultivators.  A tip for those who do find a long flowering plant they wish to keep...clones usually finish 2-3 weeks quicker than the seed mother plant and therefore will give the grower a possibility to finish something that normally needs the tropics to grow in.  The full flavor is sativa all the way so for you Indica lovers this plant will not be for you!  It was made by combining a pure Haze  to a NL5/Haze, thus creating probably one of the most influential plants of our time, certainly for flavor, aroma and effect. It is a must if you are within 10' of the equator for outdoor cultivation, but indoor would be recommended in other regions.All seed companies owe the ground work and origin of modern cultivars to Nevil . Like the man himself...the legend grows!",,"Haze x NL5/Haze","Mostly Sativa","16 Weeks",Photoperiod,Regular,Unknown,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,"Depression,Stress",,"Cerebral,Long-lasting,Powerful,Psychedelic",https://tiger-one.eu/en/categories/regular-cannabis-seeds/neville-s-haze-seeds,http://tiger-one.eu/media/catalog/product/n/e/nevilleshaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_90.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNBW,"2009-05-21 16:26:12","Black Widow Regular Seeds",MRNBW,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","A most infamous strain that since 1994 has won a number of awards, including the High Times Cannabis Cup in 1995, and has acquired acclaim from most corners of the globe - rightly so. It has a pedigree of parentage that combines a Brazilian Sativa with a South Indian hybrid. Basically, it is White Widow changing its colors like its company.  Indoors 10 weeks of flowering will be necessary to realize the immense resin production. In the northern hemisphere expect harvest around September/October, having planted as late as June. However, there is a chance that rain could reduce the expected yield.  A highly recommended strain for amateur breeders - the male being preferable.","White Widow","Brazilian sativa x South Indian Indica","Indica / Sativa","8-10 Weeks",Photoperiod,Regular,"Unknown - High",Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,"Muscle Spasm,Pain",,"Body,Cerebral,Happy,Long-lasting,Powerful,Relaxing",https://tiger-one.eu/en/categories/regular-cannabis-seeds/black-widow-seeds,http://tiger-one.eu/media/catalog/product/b/l/blackwidow.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNAHXAS,"2009-05-21 16:35:58","ASH Regular Seeds (Afghan Skunk x Afghan Haze)",MRNAHXAS,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","The Afghan Skunk combination is full of fruity undertones and berry flavors combined to the Afghan Haze male which gives it a pungent and recognizable smell and taste. It rewards all of those who grow it usually superceding expectations. This seed is suitable for all styles and levels of growers and a marvel for most medically motivated growers. Yields can vary with different mediums but it always retains its distinctive flavour and aroma. Plants will finish flowering in 9-11 weeks, but sometimes shorter at 8 weeks.  It all lies with the selection and competence of growing. Yields will range from 450 -600 grams a square meter for indoor growers and very heavy for outdoor and greenhouse cultivations. With the 25% mix of Haze it is better suited to cooler areas than most Afghan hybrids and resists mould better in places of early rains. An excellent remake of old school lines originating from Neville in the late 1980s.",,"Afghan Haze x Afghan Skunk","Mostly Indica","8-10 Weeks ",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Lack of Appetite,Multiple Sclerosis,Muscle Spasm,PMS",,"Cerebral,Physical,Powerful",https://tiger-one.eu/en/categories/regular-cannabis-seeds/afghan-haze-x-afghan-skunk,http://tiger-one.eu/media/catalog/product/a/f/afghanhazexafghanskunk.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_93.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNCH,"2009-05-21 16:52:23","Critical Haze Regular Seeds",MRNCH,"Mr Nice Seedbank",48.0000,80.0000,"18 Seeds","From the moment this combination of cult status parent plants were mentioned, a lot of curiosity and expectation was felt vibrating in the MNS camp. Critical Mass (Plant of the Year 2008 in Spain) has won almost all awards possible over the years in many countries.  Its phenotypes, also, have always, without failure, satisfied more than any other plant produced.   The fruitiness of the Critical Mass compliments the Afghan Haze male.  This is probably one of the best blends of distinctive flavors and scents.  But this strain needs a little more patience to finish this plant off to its full potential. This is a perfect plant for outdoor cultivation, but better still grown in greehouses.   This strain will become a must have like Super Silver Haze, White Widow and Northern Lights.  It will usually finish in 8-10 weeks but with some very exciting phenotypes finishing in 10-12 weeks.  Yields will vary but the taste holds traditionally hazy flavours.",,"Critical Mass x Afghan Haze","Indica / Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Lack of Appetite,Multiple Sclerosis,Muscle Spasm,PMS",,"Cerebral,Long-lasting,Physical,Powerful",https://tiger-one.eu/en/categories/regular-cannabis-seeds/critical-haze-seeds,http://tiger-one.eu/media/catalog/product/c/r/criticalhaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_86.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNDV,"2009-05-21 16:57:08","Devil Regular Seeds",MRNDV,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","The definitive plant for those interested in outdoors or greenhouse cultivation.  Due to its Afghani pedigree, taste, reddish aura, and magical mind journey tendencies, this plant provides quite a wonderful therapy.  It has a genetic make-up of Afghan x Afghan/Skunk and shows initial slow growth until it has an established root ball.   Expect to finish this plant in the Northern hemisphere by October and in the Southern hemisphere by June/July. Indoors, 8-10 weeks.",,"Afghani x Afghan/Skunk","Mostly Indica","8 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Anxiety,Depression",,"Body,Couch Lock,Physical,Powerful,Relaxing",https://tiger-one.eu/en/categories/regular-cannabis-seeds/devil-seeds,http://tiger-one.eu/media/catalog/product/D/e/Devil.jpg,http://tiger-one.eu/media/catalog/product/d/e/devil.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNDT,"2009-05-21 17:03:55","Dreamtime Regular Seeds",MRNDT,"Mr Nice Seedbank",21.0000,35.0000,"18 Seeds","A selection of mixed indoor varieties of excellent parentage including Skunk, NL, Haze, and Afghan. Highly recommended for the first time grower or those that search for an economic solution to their problems. Guaranteed to turn the consumer on and personally recommended.  They have an 8-10 weeks flowering cycle.",,"Skunk, NL, Haze, and Afghan","Indica / Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/dreamtime-seeds,http://tiger-one.eu/media/catalog/product/D/r/Dreamtime.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNEPSXHZ,"2009-05-21 17:09:30","Early Skunk Haze Regular Seeds (Early Pearl Skunk x Haze)",MRNEPSXHZ,"Mr Nice Seedbank",48.0000,80.0000,"18 Seeds","After the success of the first hybrid (Early Pearl x Skunk) and its practical applications in outdoor cold climate countries, it was decided to make a Haze hybrid for the same reasons. It is a hybrid that does not take the same amount of work as traditional sativa based plants, but the end product is a great compromise between the Indica/Sativa families of Cannabis. It doe not stretch as much as people believe it might with its genetic composition so be warned it may need a little grow time for the indoor cultivators. It is a most rewarding dried flower that balances the indica/sativa ratio in a plant.",,"Early Pearl/Skunk x Haze","Mostly Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,"Medium,High","Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/early-pearl-skunk-x-haze,http://tiger-one.eu/media/catalog/product/e/a/earlypearlskunkxhaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_88.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNEPXSK,"2009-05-21 17:15:04","Early Skunk Regular Seeds (Early Pearl x Skunk)",MRNEPXSK,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","Noted for its fast flowering and quickness to be completed in outdoor, greenhouse and indoor grows. It has a certain appeal to those in colder climates with short seasons. The combination of Early Pearl with Skunk #1 means its will be completed in a 7 week flowering cycle. The density of the flower will rely on the darkness hours and is a plant to consider for darkening greenhouses or something similar. It has something special about the flavor and taste of the flowers.",,"Early Pearl x Skunk","Indica / Sativa","7-8 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/early-pearl-x-skunk,http://tiger-one.eu/media/catalog/product/e/a/earlypearlxskunk.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_87.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
